================================================================
NARUTO ONLINE QUIZ ASSISTANT – ANSWERS & TRACKING (File 3A)
================================================================
Last Updated: 2026-07-01
Total Tracked: 505 (A: 200, B: 200, C: 105)
----------------------------------------------------------------
ID | Status | Candidate Answer | Confirmed Answer | Wrong Guesses | Choices | Date Added | Date Confirmed | Last Attempted | Attempts | Notes
----------------------------------------------------------------
Q_001 | Candidate | Ao |  |  | Not recorded | 2026-07-01 |  | 2026-07-01 | 1 | From 500-batch
Q_002 | Candidate | The Nine Tails |  |  | Not recorded | 2026-07-01 |  | 2026-07-01 | 1 | From 500-batch
Q_003 | Candidate | Ino |  |  | Not recorded | 2026-07-01 |  | 2026-07-01 | 1 | From 500-batch
Q_004 | Candidate | Third Hokage |  |  | Not recorded | 2026-07-01 |  | 2026-07-01 | 1 | From 500-batch
Q_005 | Candidate | Kakashi |  |  | Not recorded | 2026-07-01 |  | 2026-07-01 | 1 | From 500-batch
Q_006 | Candidate | Haku |  |  | Not recorded | 2026-07-01 |  | 2026-07-01 | 1 | From 500-batch
Q_007 | Candidate | Sasori |  |  | Not recorded | 2026-07-01 |  | 2026-07-01 | 1 | From 500-batch
Q_008 | Candidate | Jiraiya |  |  | Not recorded | 2026-07-01 |  | 2026-07-01 | 1 | From 500-batch
Q_009 | Candidate | Kakashi |  |  | Not recorded | 2026-07-01 |  | 2026-07-01 | 1 | From 500-batch
Q_010 | Candidate | Minato |  |  | Not recorded | 2026-07-01 |  | 2026-07-01 | 1 | From 500-batch
Q_011 | Candidate | Iruka |  |  | Not recorded | 2026-07-01 |  | 2026-07-01 | 1 | From 500-batch
Q_012 | Candidate | Choji Akimichi |  |  | Not recorded | 2026-07-01 |  | 2026-07-01 | 1 | From 500-batch
Q_013 | Candidate | Kakashi |  |  | Not recorded | 2026-07-01 |  | 2026-07-01 | 1 | From 500-batch
Q_014 | Candidate | Hanzo |  |  | Not recorded | 2026-07-01 |  | 2026-07-01 | 1 | From 500-batch
Q_015 | Candidate | Itachi Uchiha |  |  | Not recorded | 2026-07-01 |  | 2026-07-01 | 1 | From 500-batch
Q_016 | Candidate | Orochimaru |  |  | Not recorded | 2026-07-01 |  | 2026-07-01 | 1 | From 500-batch
Q_017 | Candidate | Itachi Uchiha |  |  | Not recorded | 2026-07-01 |  | 2026-07-01 | 1 | From 500-batch
Q_018 | Candidate | Pain |  |  | Not recorded | 2026-07-01 |  | 2026-07-01 | 1 | From 500-batch
Q_019 | Candidate | Sakumo Hatake |  |  | Not recorded | 2026-07-01 |  | 2026-07-01 | 1 | From 500-batch
Q_020 | Candidate | Kurenai |  |  | Not recorded | 2026-07-01 |  | 2026-07-01 | 1 | From 500-batch
Q_021 | Candidate | Neji Hyuga |  |  | Not recorded | 2026-07-01 |  | 2026-07-01 | 1 | From 500-batch
Q_022 | Candidate | Enma |  |  | Not recorded | 2026-07-01 |  | 2026-07-01 | 1 | From 500-batch
Q_023 | Candidate | Kakashi |  |  | Not recorded | 2026-07-01 |  | 2026-07-01 | 1 | From 500-batch
Q_024 | Candidate | Ebisu |  |  | Not recorded | 2026-07-01 |  | 2026-07-01 | 1 | From 500-batch
Q_025 | Candidate | Jiraiya |  |  | Not recorded | 2026-07-01 |  | 2026-07-01 | 1 | From 500-batch
Q_026 | Candidate | Kakashi |  |  | Not recorded | 2026-07-01 |  | 2026-07-01 | 1 | From 500-batch
Q_027 | Candidate | Asuma |  |  | Not recorded | 2026-07-01 |  | 2026-07-01 | 1 | From 500-batch
Q_028 | Candidate | Chojuro |  |  | Not recorded | 2026-07-01 |  | 2026-07-01 | 1 | From 500-batch
Q_029 | Confirmed | Temari | Temari |  | Not recorded | 2026-07-01 | 2026-07-01 | 2026-07-01 | 1 | From 500-batch
Q_030 | Candidate | Temari |  |  | Not recorded | 2026-07-01 |  | 2026-07-01 | 1 | From 500-batch
Q_031 | Candidate | Kankuro |  |  | Not recorded | 2026-07-01 |  | 2026-07-01 | 1 | From 500-batch
Q_032 | Candidate | Deidara |  |  | Not recorded | 2026-07-01 |  | 2026-07-01 | 1 | From 500-batch
Q_033 | Candidate | Kushina Uzumaki |  |  | Not recorded | 2026-07-01 |  | 2026-07-01 | 1 | From 500-batch
Q_034 | Candidate | Tsume Inuzuka |  |  | Not recorded | 2026-07-01 |  | 2026-07-01 | 1 | From 500-batch
Q_035 | Candidate | Sasuke Uchiha |  |  | Not recorded | 2026-07-01 |  | 2026-07-01 | 1 | From 500-batch
Q_036 | Candidate | Ibiki Morino |  |  | Not recorded | 2026-07-01 |  | 2026-07-01 | 1 | From 500-batch
Q_037 | Candidate | Might Guy |  |  | Not recorded | 2026-07-01 |  | 2026-07-01 | 1 | From 500-batch
Q_038 | Candidate | Asuma Sarutobi |  |  | Not recorded | 2026-07-01 |  | 2026-07-01 | 1 | From 500-batch
Q_039 | Candidate | Baki |  |  | Not recorded | 2026-07-01 |  | 2026-07-01 | 1 | From 500-batch
Q_040 | Candidate | Rock Lee |  |  | Not recorded | 2026-07-01 |  | 2026-07-01 | 1 | From 500-batch
Q_041 | Candidate | Elder Chiyo |  |  | Not recorded | 2026-07-01 |  | 2026-07-01 | 1 | From 500-batch
Q_042 | Candidate | Konohamaru |  |  | Not recorded | 2026-07-01 |  | 2026-07-01 | 1 | From 500-batch
Q_043 | Candidate | Kurotsuchi |  |  | Not recorded | 2026-07-01 |  | 2026-07-01 | 1 | From 500-batch
Q_044 | Candidate | Tsunade |  |  | Not recorded | 2026-07-01 |  | 2026-07-01 | 1 | From 500-batch
Q_045 | Candidate | Tsunade |  |  | Not recorded | 2026-07-01 |  | 2026-07-01 | 1 | From 500-batch
Q_046 | Candidate | Naruto |  |  | Not recorded | 2026-07-01 |  | 2026-07-01 | 1 | From 500-batch
Q_047 | Candidate | Mizuki |  |  | Not recorded | 2026-07-01 |  | 2026-07-01 | 1 | From 500-batch
Q_048 | Candidate | Minato Namikaze |  |  | Not recorded | 2026-07-01 |  | 2026-07-01 | 1 | From 500-batch
Q_049 | Candidate | Fugaku Uchiha |  |  | Not recorded | 2026-07-01 |  | 2026-07-01 | 1 | From 500-batch
Q_050 | Candidate | Butsuma Senju |  |  | Not recorded | 2026-07-01 |  | 2026-07-01 | 1 | From 500-batch
Q_051 | Candidate | Raikage |  |  | Not recorded | 2026-07-01 |  | 2026-07-01 | 1 | From 500-batch
Q_052 | Confirmed | Izuna Uchiha | Izuna Uchiha |  | Not recorded | 2026-07-01 | 2026-07-01 | 2026-07-01 | 1 | From 500-batch
Q_053 | Candidate | Jiraiya |  |  | Not recorded | 2026-07-01 |  | 2026-07-01 | 1 | From 500-batch
Q_054 | Candidate | Tsunade |  |  | Not recorded | 2026-07-01 |  | 2026-07-01 | 1 | From 500-batch
Q_055 | Candidate | Danzo |  |  | Not recorded | 2026-07-01 |  | 2026-07-01 | 1 | From 500-batch
Q_056 | Candidate | Camwomaru |  |  | Not recorded | 2026-07-01 |  | 2026-07-01 | 1 | From 500-batch
Q_057 | Candidate | Gamabunta |  |  | Not recorded | 2026-07-01 |  | 2026-07-01 | 1 | From 500-batch
Q_058 | Candidate | Orochimaru |  |  | Not recorded | 2026-07-01 |  | 2026-07-01 | 1 | From 500-batch
Q_059 | Candidate | Bipolar Jugo |  |  | Not recorded | 2026-07-01 |  | 2026-07-01 | 1 | From 500-batch
Q_060 | Candidate | Naruto |  |  | Not recorded | 2026-07-01 |  | 2026-07-01 | 1 | From 500-batch
Q_061 | Candidate | Might Guy |  |  | Not recorded | 2026-07-01 |  | 2026-07-01 | 1 | From 500-batch
Q_062 | Candidate | Minato Namikaze |  |  | Not recorded | 2026-07-01 |  | 2026-07-01 | 1 | From 500-batch
Q_063 | Candidate | Rock Lee |  |  | Not recorded | 2026-07-01 |  | 2026-07-01 | 1 | From 500-batch
Q_064 | Candidate | Karin |  |  | Not recorded | 2026-07-01 |  | 2026-07-01 | 1 | From 500-batch
Q_065 | Candidate | Kakashi |  |  | Not recorded | 2026-07-01 |  | 2026-07-01 | 1 | From 500-batch
Q_066 | Candidate | Sakura Haruno |  |  | Not recorded | 2026-07-01 |  | 2026-07-01 | 1 | From 500-batch
Q_067 | Candidate | Naruto |  |  | Not recorded | 2026-07-01 |  | 2026-07-01 | 1 | From 500-batch
Q_068 | Candidate | Obito |  |  | Not recorded | 2026-07-01 |  | 2026-07-01 | 1 | From 500-batch
Q_069 | Candidate | Naruto |  |  | Not recorded | 2026-07-01 |  | 2026-07-01 | 1 | From 500-batch
Q_070 | Candidate | Tsunade |  |  | Not recorded | 2026-07-01 |  | 2026-07-01 | 1 | From 500-batch
Q_071 | Candidate | Sasuke |  |  | Not recorded | 2026-07-01 |  | 2026-07-01 | 1 | From 500-batch
Q_072 | Candidate | Danzo |  |  | Not recorded | 2026-07-01 |  | 2026-07-01 | 1 | From 500-batch
Q_073 | Candidate | Iruka |  |  | Not recorded | 2026-07-01 |  | 2026-07-01 | 1 | From 500-batch
Q_074 | Candidate | Shino Aburame |  |  | Not recorded | 2026-07-01 |  | 2026-07-01 | 1 | From 500-batch
Q_075 | Candidate | Lee |  |  | Not recorded | 2026-07-01 |  | 2026-07-01 | 1 | From 500-batch
Q_076 | Candidate | Naruto |  |  | Not recorded | 2026-07-01 |  | 2026-07-01 | 1 | From 500-batch
Q_077 | Candidate | Kurenai Yuuhi |  |  | Not recorded | 2026-07-01 |  | 2026-07-01 | 1 | From 500-batch
Q_078 | Candidate | Hashirama and Madara |  |  | Not recorded | 2026-07-01 |  | 2026-07-01 | 1 | From 500-batch
Q_079 | Candidate | Sasuke |  |  | Not recorded | 2026-07-01 |  | 2026-07-01 | 1 | From 500-batch
Q_080 | Candidate | Tobirama Senju |  |  | Not recorded | 2026-07-01 |  | 2026-07-01 | 1 | From 500-batch
Q_081 | Candidate | Sasuke |  |  | Not recorded | 2026-07-01 |  | 2026-07-01 | 1 | From 500-batch
Q_082 | Candidate | Kabuto |  |  | Not recorded | 2026-07-01 |  | 2026-07-01 | 1 | From 500-batch
Q_083 | Candidate | Tobirama Senju |  |  | Not recorded | 2026-07-01 |  | 2026-07-01 | 1 | From 500-batch
Q_084 | Candidate | Second Hokage |  |  | Not recorded | 2026-07-01 |  | 2026-07-01 | 1 | From 500-batch
Q_085 | Candidate | Sai |  |  | Not recorded | 2026-07-01 |  | 2026-07-01 | 1 | From 500-batch
Q_086 | Candidate | Shikamaru Nara |  |  | Not recorded | 2026-07-01 |  | 2026-07-01 | 1 | From 500-batch
Q_087 | Candidate | Choji Akimichi |  |  | Not recorded | 2026-07-01 |  | 2026-07-01 | 1 | From 500-batch
Q_088 | Candidate | Tenten |  |  | Not recorded | 2026-07-01 |  | 2026-07-01 | 1 | From 500-batch
Q_089 | Candidate | Kakashi |  |  | Not recorded | 2026-07-01 |  | 2026-07-01 | 1 | From 500-batch
Q_090 | Candidate | Jiraiya |  |  | Not recorded | 2026-07-01 |  | 2026-07-01 | 1 | From 500-batch
Q_091 | Candidate | Rasengan |  |  | Not recorded | 2026-07-01 |  | 2026-07-01 | 1 | From 500-batch
Q_092 | Candidate | Elite Instances |  |  | Not recorded | 2026-07-01 |  | 2026-07-01 | 1 | From 500-batch
Q_093 | Candidate | Kakuzu and Hidan |  |  | Not recorded | 2026-07-01 |  | 2026-07-01 | 1 | From 500-batch
Q_094 | Candidate | Rinnegan and Sharingan |  |  | Not recorded | 2026-07-01 |  | 2026-07-01 | 1 | From 500-batch
Q_095 | Candidate | Gamakichi |  |  | Not recorded | 2026-07-01 |  | 2026-07-01 | 1 | From 500-batch
Q_096 | Candidate | Team 7 |  |  | Not recorded | 2026-07-01 |  | 2026-07-01 | 1 | From 500-batch
Q_097 | Candidate | Four Tails |  |  | Not recorded | 2026-07-01 |  | 2026-07-01 | 1 | From 500-batch
Q_098 | Candidate | Five Tails |  |  | Not recorded | 2026-07-01 |  | 2026-07-01 | 1 | From 500-batch
Q_099 | Candidate | One Tail |  |  | Not recorded | 2026-07-01 |  | 2026-07-01 | 1 | From 500-batch
Q_100 | Candidate | Nine Tails |  |  | Not recorded | 2026-07-01 |  | 2026-07-01 | 1 | From 500-batch
Q_101 | Candidate | Katsuyu |  |  | Not recorded | 2026-07-01 |  | 2026-07-01 | 1 | From 500-batch
